,stock_code,date,open,close,low,high,adjust,volume,Current_Assets,Short_term_financial_investments,Cash_and_cash_equivalents,Short_term_receivables,Inventories,other_short_term_assets,Non_current_assets,long_term_receivable,Fixed_assets,Long_term_assets_in_progress,Liabilities,Current_liabilities,Short_term_borrowing,Long_term_liabilities,Owners_equity,Other_fund,Tỷ lệ ghi sổ FVTPL và AFS trên VCSH ,Tỷ lệ cho vay trên vốn chủ ,Tăng trưởng LN ròng 4 quý liền kề so với cùng kỳ năm trước,Tăng trưởng Doanh thu thuần 4 quý liền kề so với cùng kỳ năm trước,ROAE ,ROAA ,Tỷ lệ nợ vay trên vốn chủ ,Tăng trưởng Vốn chủ sở hữu so với đầu năm,sma,smma,ema,wma,rsi,macd,atr,bandwidth,hull,ichimoku_cline,ichimoku_bline,ichimoku_lsa,ichimoku_lsb,ichimoku_lgp,lsma,mom_osc,ao,momemtum,coppock,changes
0,VND,2016-10-03,14.0,14.4,14.0,14.5,1.6,827160,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,VND,2016-10-04,14.4,13.9,13.5,14.5,1.54,582059,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034722222222222224
2,VND,2016-10-05,13.9,13.9,13.8,14.1,1.54,275935,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5188775510204081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,VND,2016-10-06,14.0,13.7,13.7,14.1,1.52,248260,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5103862973760933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01438848920863317
4,VND,2016-10-07,13.8,13.6,13.5,13.8,1.51,505861,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4953587047063724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007299270072992675
5,VND,2016-10-10,13.7,13.4,13.4,13.7,1.49,201305,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.48140451151305996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014705882352941124
6,VND,2016-10-11,13.3,13.3,13.0,13.5,1.48,393710,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.48273276069069854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007462686567164152
7,VND,2016-10-12,13.3,13.2,13.0,13.4,1.46,285853,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.47682327778422007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007518796992481309
8,VND,2016-10-13,13.2,13.5,13.1,13.5,1.5,322410,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.47133590079963295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272783
9,VND,2016-10-14,13.4,13.3,13.2,13.5,1.48,215862,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4590976221710878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.83251231527095,0.0,-1.0999999999999996,0.0,-0.014814814814814762
