,stock_code,date,open,close,low,high,adjust,volume
0,VND,2017-01-03,13.1,13.3,13.1,13.3,1.48,264452
1,VND,2017-01-04,13.3,13.3,13.2,13.4,1.48,177734
2,VND,2017-01-05,13.3,13.3,13.2,13.4,1.48,265883
3,VND,2017-01-06,13.3,13.3,13.3,13.5,1.48,318419
4,VND,2017-01-09,13.3,13.3,13.3,13.5,1.48,395786
5,VND,2017-01-10,13.3,13.2,13.2,13.4,1.46,348112
6,VND,2017-01-11,13.3,13.0,12.8,13.3,1.44,591713
7,VND,2017-01-12,12.8,13.2,12.8,13.2,1.46,597718
8,VND,2017-01-13,13.1,13.2,13.0,13.3,1.46,516150
9,VND,2017-01-16,13.3,13.2,13.0,13.3,1.46,52013
10,VND,2017-01-17,12.8,13.1,12.7,13.1,1.45,56277
11,VND,2017-01-18,13.0,12.0,12.0,13.1,1.33,322710
12,VND,2017-01-19,12.6,12.8,12.5,12.9,1.42,341298
13,VND,2017-01-20,12.9,12.6,12.6,12.9,1.4,254600
14,VND,2017-01-23,12.6,12.3,12.3,12.6,1.36,172723
15,VND,2017-01-24,12.4,12.4,12.3,12.5,1.38,123600
16,VND,2017-01-25,12.4,12.3,12.2,13.0,1.36,175410
17,VND,2017-02-02,12.7,12.2,12.1,12.7,1.35,298211
18,VND,2017-02-03,12.2,12.5,12.0,12.6,1.39,189820
19,VND,2017-02-06,12.5,12.4,12.2,12.5,1.38,254530
20,VND,2017-02-07,12.4,12.5,12.1,12.6,1.39,383000
21,VND,2017-02-08,12.5,12.4,12.4,12.5,1.38,173870
22,VND,2017-02-09,12.3,12.4,12.3,12.6,1.38,208131
23,VND,2017-02-10,12.4,12.2,12.2,12.6,1.35,245850
24,VND,2017-02-13,12.2,12.8,12.2,12.9,1.42,589920
25,VND,2017-02-14,12.8,12.5,12.5,12.9,1.39,280490
26,VND,2017-02-15,12.6,12.6,12.6,12.8,1.4,158650
27,VND,2017-02-16,12.6,12.7,12.6,12.8,1.41,285900
28,VND,2017-02-17,12.7,12.8,12.6,12.9,1.42,215985
29,VND,2017-02-20,12.8,13.0,12.7,13.0,1.44,123602
30,VND,2017-02-21,13.0,12.9,12.9,13.1,1.43,189710
31,VND,2017-02-22,12.9,13.2,12.9,13.5,1.46,660767
32,VND,2017-02-23,13.2,13.1,13.0,13.3,1.45,170280
33,VND,2017-02-24,13.1,12.9,12.9,13.1,1.43,187115
34,VND,2017-02-27,12.8,13.0,12.7,13.0,1.44,279460
35,VND,2017-02-28,13.0,12.8,12.8,13.0,1.42,303410
36,VND,2017-03-01,12.7,12.6,12.5,12.8,1.4,355469
37,VND,2017-03-02,12.7,12.6,12.5,12.7,1.4,333560
38,VND,2017-03-03,12.7,12.5,12.5,12.7,1.39,411000
39,VND,2017-03-06,12.5,12.7,12.5,12.7,1.41,231920
40,VND,2017-03-07,12.7,12.7,12.6,12.9,1.41,1038384
41,VND,2017-03-08,12.7,12.7,12.7,12.9,1.41,199900
42,VND,2017-03-09,12.7,13.0,12.7,13.2,1.44,1422966
43,VND,2017-03-10,13.1,12.8,12.8,13.2,1.42,704675
44,VND,2017-03-13,12.8,13.0,12.8,13.2,1.44,683915
45,VND,2017-03-14,13.0,13.2,13.0,13.2,1.46,544816
46,VND,2017-03-15,13.2,13.1,13.0,13.2,1.45,194375
47,VND,2017-03-16,13.0,13.2,13.0,13.4,1.46,909066
48,VND,2017-03-17,13.3,13.6,13.3,13.9,1.51,1232850
49,VND,2017-03-20,13.8,14.1,13.7,14.2,1.56,729083
50,VND,2017-03-21,14.1,14.2,13.9,14.2,1.57,827306
51,VND,2017-03-22,14.2,13.9,13.9,14.3,1.54,723326
52,VND,2017-03-23,13.9,14.0,13.8,14.1,1.55,605414
53,VND,2017-03-24,14.1,14.5,14.0,14.5,1.61,630260
54,VND,2017-03-27,14.7,14.7,14.3,14.8,1.63,640660
55,VND,2017-03-28,14.7,14.5,14.5,14.8,1.61,366780
56,VND,2017-03-29,14.5,14.6,14.3,14.6,1.62,392446
57,VND,2017-03-30,14.6,14.9,14.4,14.9,1.65,319781
58,VND,2017-03-31,14.8,15.0,14.7,15.2,1.66,1146085
59,VND,2017-04-03,15.0,14.8,14.7,15.2,1.64,305844
60,VND,2017-04-04,14.9,14.6,14.6,14.9,1.62,262915
61,VND,2017-04-05,14.7,14.3,14.3,14.8,1.59,360368
62,VND,2017-04-07,14.3,14.4,14.2,14.5,1.6,196681
63,VND,2017-04-10,14.7,15.8,14.7,15.8,1.75,1166604
64,VND,2017-04-11,15.8,15.5,15.3,15.8,1.72,367340
65,VND,2017-04-12,15.2,15.5,14.9,15.5,1.72,384639
66,VND,2017-04-13,15.5,14.9,14.9,15.5,1.65,393123
67,VND,2017-04-14,14.9,14.9,14.4,14.9,1.65,389632
68,VND,2017-04-17,14.5,14.8,14.5,15.2,1.64,153805
69,VND,2017-04-18,14.8,15.1,14.7,15.1,1.67,167747
70,VND,2017-04-19,14.9,14.9,14.8,15.1,1.65,189980
71,VND,2017-04-20,15.0,14.8,14.8,15.2,1.64,466538
72,VND,2017-04-21,15.0,15.3,15.0,16.2,1.7,1566437
73,VND,2017-04-24,15.4,15.0,15.0,15.5,1.66,243304
74,VND,2017-04-25,14.9,14.9,14.8,15.1,1.65,222160
75,VND,2017-04-26,14.9,14.9,14.8,15.2,1.65,507338
76,VND,2017-04-27,14.9,15.2,14.9,15.2,1.69,883576
77,VND,2017-04-28,15.2,15.2,15.0,15.4,1.69,354214
78,VND,2017-05-03,15.2,15.5,15.2,15.5,1.72,576405
79,VND,2017-05-04,15.7,16.4,15.6,16.6,1.82,847912
